A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
2,300135,宝利国际,2.92,0.27,10.19,742366,214603714,10.57,2.92,2.64,2.65,2.65,0.00,11.64,8.06,53.40,2.21,2691072070,2691072070,8.55%,-22.13%,0.00,2010-10-26,2018-09-07 15:00:00,742366
2,300071,华谊嘉信,3.70,0.34,10.12,145430,52758443,10.71,3.70,3.34,3.34,3.36,0.00,1.71,3.49,32.25,2.72,2510418538,1542916418,3.64%,-47.29%,0.00,2010-04-21,2018-09-07 15:00:00,145430
2,002554,惠博普,3.70,0.34,10.12,940718,345306464,5.36,3.70,3.52,3.64,3.36,0.00,5.09,12.23,33.89,1.81,3961997051,2847132277,17.46%,-22.59%,0.00,2011-02-25,2018-09-07 15:00:00,940718
2,002418,康盛股份,3.38,0.31,10.10,139954,46125134,10.75,3.38,3.05,3.05,3.07,0.00,1.25,1.39,-,1.74,3841032130,3392196074,-61.42%,-61.55%,0.00,2010-06-01,2018-09-07 15:00:00,139954
1,600165,新日恒力,4.48,0.41,10.07,1038312,446954448,10.81,4.48,4.04,4.05,4.07,0.00,1.41,15.16,-,3.57,3068279325,3068279330,-70.62%,-70.66%,0.00,1998-05-29,2018-09-07 15:00:00,1038312
2,000793,华闻传媒,3.83,0.35,10.06,1631331,613184576,10.06,3.83,3.48,3.48,3.48,0.00,3.21,8.49,46.82,0.78,7664958702,7355660884,-61.7%,-62.08%,0.00,1997-07-29,2018-09-07 15:00:00,1631331
2,002143,印纪传媒,4.27,0.39,10.05,195982,82858012,4.12,4.27,4.11,4.11,3.88,0.00,0.48,2.01,174.09,2.60,7557191932,4159508983,-70.47%,-67.92%,0.00,2007-07-20,2018-09-07 15:00:00,195982
2,000498,山东路桥,4.27,0.39,10.05,310930,130701516,10.31,4.27,3.87,3.88,3.88,0.00,5.03,7.06,17.74,1.19,4782993778,1881788992,-11.04%,-37.66%,0.00,1997-06-09,2018-09-07 15:00:00,310930
2,002628,成都路桥,6.25,0.57,10.04,417284,249155440,10.74,6.25,5.64,5.69,5.68,0.00,1.63,5.75,206.17,1.72,4608851344,4533444900,20.89%,-15.99%,-,2011-11-03,2018-09-07 15:00:00,417284
1,603085,天成自控,14.15,1.29,10.03,65674,91173793,7.39,14.15,13.20,13.30,12.86,0.00,0.74,8.32,52.77,3.20,3167272042,1117169893,-46.94%,-45.56%,-,2015-06-30,2018-09-07 15:00:00,65674
1,601068,中铝国际,8.01,0.73,10.03,14454,11577910,0.00,8.01,8.01,8.01,7.28,0.00,1.86,0.49,51.10,2.80,23702124680,2370212510,61.17%,61.17%,0.00,2018-08-31,2018-09-07 15:00:00,14454
2,000576,广东甘化,6.47,0.59,10.03,323529,204152295,6.29,6.47,6.10,6.16,5.88,0.00,0.73,7.43,-,2.92,2865312673,2818243813,-63.4%,-61.99%,0.00,1994-09-07,2018-09-07 15:00:00,323529
1,600687,刚泰控股,4.39,0.40,10.03,467174,197064204,10.03,4.39,3.99,4.02,3.99,0.00,2.30,4.33,30.23,1.07,6535459986,4734787927,-59.09%,-62.12%,0.00,1993-11-08,2018-09-07 15:00:00,467174
